,Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,Timestamp
2393,178,2009,06,27,7,True,0.353273138,70,30,9.7,1,10.0,75,0.0,29.91,8376,2009-06-27
2394,178,2009,06,27,10,True,0.150112867,70,30,9.7,0,9.0,71,3.0,29.92,27771,2009-06-27
2395,178,2009,06,27,13,True,0.053047404,70,30,9.7,0,10.0,43,10.0,29.89,32483,2009-06-27
2396,178,2009,06,27,16,True,0.256207675,70,30,9.7,0,10.0,34,21.0,29.86,20505,2009-06-27
2397,178,2009,06,27,19,True,0.459367946,70,30,9.7,0,10.0,43,17.0,29.85,1950,2009-06-27
2398,178,2009,06,27,22,False,0.662528217,70,30,9.7,0,10.0,53,8.0,29.87,0,2009-06-27
2404,179,2009,06,28,16,True,0.256207675,70,30,11.6,1,10.0,50,23.0,29.8,20767,2009-06-28
2405,179,2009,06,28,19,True,0.459367946,70,30,11.6,1,9.0,70,15.0,29.78,1996,2009-06-28
2403,179,2009,06,28,13,True,0.053047404,70,30,11.6,1,10.0,48,20.0,29.84,32832,2009-06-28
2406,179,2009,06,28,22,False,0.662528217,70,30,11.6,1,10.0,81,11.0,29.81,0,2009-06-28
2401,179,2009,06,28,7,True,0.353273138,70,30,11.6,0,10.0,68,0.0,29.87,8112,2009-06-28
2399,179,2009,06,28,1,False,0.759593679,70,30,11.6,0,10.0,65,5.0,29.85,0,2009-06-28
2402,179,2009,06,28,10,True,0.150112867,70,30,11.6,0,10.0,56,6.0,29.87,27692,2009-06-28
2400,179,2009,06,28,4,True,0.556433409,70,30,11.6,1,10.0,72,10.0,29.84,0,2009-06-28
2414,180,2009,06,29,22,False,0.663276836,62,30,13.3,0,10.0,78,6.0,29.82,0,2009-06-29
2407,180,2009,06,29,1,False,0.760451977,62,30,13.3,0,10.0,84,9.0,29.8,0,2009-06-29
2408,180,2009,06,29,4,True,0.557062147,62,30,13.3,1,10.0,93,14.0,29.8,0,2009-06-29
2409,180,2009,06,29,7,True,0.353672316,62,30,13.3,1,9.0,84,11.0,29.82,8254,2009-06-29
2410,180,2009,06,29,10,True,0.150282486,62,30,13.3,1,10.0,70,15.0,29.82,29225,2009-06-29
2411,180,2009,06,29,13,True,0.053107345,62,30,13.3,1,9.0,61,20.0,29.8,34434,2009-06-29
2412,180,2009,06,29,16,True,0.256497175,62,30,13.3,1,8.0,61,18.0,29.77,21417,2009-06-29
2413,180,2009,06,29,19,True,0.459887006,62,30,13.3,1,10.0,72,14.0,29.78,2070,2009-06-29
2422,181,2009,06,30,22,False,0.662146893,65,32,8.1,2,10.0,78,8.0,29.82,0,2009-06-30
2421,181,2009,06,30,19,True,0.458757062,65,32,8.1,1,10.0,70,10.0,29.78,2137,2009-06-30
2420,181,2009,06,30,16,True,0.255367232,65,32,8.1,2,10.0,59,15.0,29.77,22350,2009-06-30
2419,181,2009,06,30,13,True,0.051977401,65,32,8.1,1,10.0,62,8.0,29.81,34320,2009-06-30
2416,181,2009,06,30,4,True,0.55819209,65,32,8.1,1,10.0,87,6.0,29.79,0,2009-06-30
2417,181,2009,06,30,7,True,0.35480226,65,32,8.1,1,10.0,75,0.0,29.81,1645,2009-06-30
2415,181,2009,06,30,1,False,0.761581921,65,32,8.1,0,10.0,78,6.0,29.81,0,2009-06-30
2418,181,2009,06,30,10,True,0.151412429,65,32,8.1,1,10.0,73,7.0,29.82,18567,2009-06-30
2427,182,2009,07,01,13,True,0.052036199,65,31,8.6,1,10.0,55,8.0,29.83,35405,2009-07-01
2429,182,2009,07,01,19,True,0.459276018,65,31,8.6,1,10.0,75,16.0,29.81,2106,2009-07-01
2428,182,2009,07,01,16,True,0.255656109,65,31,8.6,1,10.0,55,15.0,29.8,21784,2009-07-01
2430,182,2009,07,01,22,False,0.662895928,65,31,8.6,1,10.0,84,9.0,29.84,0,2009-07-01
2426,182,2009,07,01,10,True,0.15158371,65,31,8.6,1,10.0,70,5.0,29.84,15670,2009-07-01
2424,182,2009,07,01,4,True,0.558823529,65,31,8.6,4,10.0,75,5.0,29.82,0,2009-07-01
2423,182,2009,07,01,1,False,0.762443439,65,31,8.6,2,10.0,81,6.0,29.81,0,2009-07-01
2425,182,2009,07,01,7,True,0.35520362,65,31,8.6,4,10.0,75,3.0,29.84,1748,2009-07-01
2437,183,2009,07,02,19,True,0.459796149,64,29,12.3,1,10.0,75,18.0,29.88,1953,2009-07-02
2436,183,2009,07,02,16,True,0.25594564,64,29,12.3,1,10.0,59,21.0,29.86,21804,2009-07-02
2435,183,2009,07,02,13,True,0.05209513,64,29,12.3,1,10.0,57,17.0,29.87,34373,2009-07-02
2438,183,2009,07,02,22,False,0.663646659,64,29,12.3,1,10.0,81,10.0,29.93,0,2009-07-02
